url,title,img_url,year,rating,ratings_num,5_star,4_star,3_star,2_star,1_star,imdb_id
https://movie.douban.com/subject/26721478/,鲁滨逊漂流记 Robinson Crusoe,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2384412081.jpg,2016,5.6,2811,4.10%,13.10%,48.90%,24.80%,0.091,tt4731008
https://movie.douban.com/subject/26860477/,新东方神娃,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2381735164.jpg,2016,2.6,193,0.00%,3.40%,0.00%,17.20%,0.793,
https://movie.douban.com/subject/25731059/,宾虚 Ben-Hur,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2382529006.jpg,2016,5.7,4649,3.70%,15.30%,48.70%,26.80%,0.055,tt2638144
https://movie.douban.com/subject/26873292/,遵义会议,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2383966644.jpg,2016,2.8,310,4.60%,0.00%,4.60%,10.80%,0.8,
https://movie.douban.com/subject/25875021/,圆梦巨人 The BFG,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2386736909.jpg,2016,6.7,40977,11.00%,28.80%,47.50%,11.10%,0.016,tt3691740
https://movie.douban.com/subject/26628380/,暗杀游戏 Мафия: Игра на выживание,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2388681695.jpg,2016,3.8,3934,1.20%,3.60%,19.20%,35.80%,0.402,tt4471388
https://movie.douban.com/subject/26433966/,黑处有什么,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2387538436.jpg,2015,6.6,24745,6.40%,33.10%,47.20%,10.90%,0.024,tt5131124
https://movie.douban.com/subject/7051830/,佩小姐的奇幻城堡 Miss Peregrine's Home for Peculiar Children,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2398173791.jpg,2016,7.3,78067,13.40%,41.90%,39.60%,4.60%,0.005,tt1935859
https://movie.douban.com/subject/25708452/,极速之巅 Autobahn,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2402073066.jpg,2016,5,2725,2.60%,7.60%,40.00%,38.50%,0.113,tt2126235
https://movie.douban.com/subject/21350556/,三少爷的剑,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2399366116.jpg,2016,4.9,44117,3.10%,10.10%,34.20%,34.50%,0.182,tt5269396
https://movie.douban.com/subject/26651353/,超级快递,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2399994997.jpg,2016,4.5,7576,1.50%,6.00%,32.10%,37.70%,0.226,tt5187816
https://movie.douban.com/subject/26840300/,食人岛,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2390679413.jpg,2016,2.5,435,0.00%,0.00%,6.60%,9.80%,0.836,
